"estado","cliente","valor_total_gasto"
TO,"985289b5cb474a6e97bfe8c85f0aee74",1415.80
TO,"38d92612568ca6e3d6b478e5fb004a6f",1293.26
TO,"81d8bf17c9e450228efeedd2603edfaa",2784.16
TO,"92ce8d58d57d7a8f8b2d5ca4b9810b64",2094.44
TO,"8d03a1ff1f1db05d26e88fde44408527",1015.92
TO,cbbe4b5beeea8b05dae43cfd1a73e6d9,1237.81
TO,b6a70553f73cde17709a32cb714a40eb,1020.35
TO,"18ac369326ec0aafe3ae0e397b14102b",1125.36
SP,"939550a2c0964d6ad3d9974d3e626d0c",1423.21
SP,"101375bf617fd60c9eee42f98d9a73d6",1024.76
SP,"7530369a1ddf13882910895b0559423d",1930.34
SP,"1033eef37a760a832f9b2332ce23fdc5",1338.41
SP,"923c196bd8ad794e9d13679e356c43df",1690.95
SP,b11b06cfbbd108f99b4ffa44e865b1f9,1517.70
SP,"72035503761f6d18eae77d5bd1a411bd",1034.60
SP,"94c1c602b16a9fdfbc154ef63cfa50f9",2566.90
SP,"94bbded6a4ac8a3dd9887f99861bf608",1877.84
SP,"10080cf8d46d43de1133521a8567b153",2028.65
SP,"94431ab24129f0060b53a89cfd62462f",1048.64
SP,"73685133e38f5b824324971c0274855a",1462.65
SP,"9410c05c403cf6b73c071fa50c8ae641",1938.74
SP,bf1dd33f93c58ea45d677d7e871e098e,1035.97
SP,bef3ce10ea5715fbcbcbe3b266ee94c5,2467.17
SP,"44fe005d35d016299a6e515c312c292a",1201.55
SP,bdd88e5f6a6810d95baef27f2f6055fe,1653.60
SP,"4550984876a4424451525c6854a996d4",1782.55
SP,bd879722dc92d795d57264b3c1e09f6a,2241.64
SP,bce40e163747be50b7bb83f016591e0f,1338.51
SP,bcba7868e02e9ae817e38bd543bf503d,1317.36
SP,bc7b827cb847747c63e317a73b052770,1015.80
SP,bc45674ff2e33eeabf20e6eb7accc4a5,1378.79
SP,"4852ba4cb09d03a665c840db8e61a749",1040.52
SP,"487e7e69517aa5d6fe673aa3d46acf06",1079.75
SP,"4897f0607bb084b7a12f7afeaaf30c08",1427.58
SP,bb149f7e7bfee3d984e265d0eae6181b,2681.29
SP,ba31ea04a575dfe13ef189d5dc797a5f,1176.64
SP,"49482ea59e5df9ca522b982c7518dcaa",1163.25
SP,b92a2e5e8a6eabcc80882c7d68b2c70b,1227.78
SP,"01858f2fad256b1689f5bdafc059f745",1841.11
SP,b8cd1885a1f24d1ee81ab66c54b76f11,1358.75
SP,"4b3bb0581e463066eed601f1991b4f16",1535.22
SP,"4bdaaab3c645dd18eed3c3bb8ddcd6cf",1369.63
SP,b8ca2e14188d8a3ebd2da5dfccb5725d,1936.50
SP,"4c4645e724402ec958ead69dbf1ade6c",2026.54
SP,"4c4b5dc90eb4e33188153ca3e7999f92",1189.34
SP,b8b32554df7a612f3aefb40b44653a4d,2028.75
SP,"4d32ae832a9e254bda80dac89fd37afb",1733.70
SP,"4da48d50844a6b56fb74a654842d1f7b",1079.98
SP,b849bcdedd839c253865da632ecee2e7,1077.41
SP,f82be7dcd0ff430255f7b521413ea98a,1266.94
SP,"4e1cce07cd5937c69dacac3c8b13d965",1294.60
SP,"4e284eec447afc7c7d56adeda4bba178",1730.04
SP,b5585a338bb22b66f02541df26cbb9aa,1528.03
SP,"4eb57395b615d5f5b1b67d08e3e3eea0",1039.74
SP,"4f8f99500e6fc01d458cbc399f891cbf",1430.91
SP,"5193199e9fa14917b155ca22087f1ca0",1172.45
SP,f62c860473cbb51bca3cac597d7b4d27,1225.99
SP,"51c4ac3413acf4a49b78fe6be0904360",1019.11
SP,"51c6848f573e6dc72a7f13433273871f",1317.90
SP,"5270cffd29ac266ad0acc6bf4261321c",1006.12
SP,"5315df33fcaf24f1ab1a6dd8a1c7b937",1109.30
SP,"5340f5bd348f19d58f217d76d42c5f86",1125.90
SP,b25ff7d6964d189833a66f4f2f8b2f7b,1306.26
SP,"5457ae2c352c18e3bf5cba68301d96a8",1274.03
SP,"547f5f9afa998b2e599e0df6584cf838",1367.50
SP,b25c74b16e09b4a3390a6db984004c44,1937.64
SP,"549ba5d32f94af00287a601a42c53ff9",1096.41
SP,"54a61767646c3bd9f1923424169283f1",1034.37
SP,"5531d719e72f20e61f0cf4a4ffdc8f00",1005.81
SP,"559026a1299bd2ede976c8d516d92258",2276.10
SP,"5599df2eeb9e2e4f377db24e09cb976f",2913.48
SP,b248c92ec54199bedb1d603e0e6f98c6,1483.26
SP,b1324928500c7eb187957630199b6113,1258.73
SP,"09e9991c50513a303a2da26619870d7f",1230.00
SP,"561d12b11588768ed517a0357a98c42e",1121.42
SP,"568e1051db19b1168ae71bdd8e98262c",1161.47
SP,"56b8af759a9a22c74b312662e0eade73",1119.77
SP,"56e81da4480d1d95cece250d5c5d7173",1023.37
SP,b0ee09a612abb2a24044216adc08b665,1640.60
SP,ff4159b92c40ebe40454e3e6a7c35ed6,6726.66
SP,"582af3879be5c1f566b1fbae2cd0e547",1172.45
SP,"58483a1c055dfb600f57c5b867174542",4034.44
SP,af53f59538b3c60899f492ca03b8c85d,1333.25
SP,af4add6ae61530f1768eef38c9a52c05,2029.62
SP,"58cb2f5bcf3fb5994bbf852e86978047",1354.09
SP,ae5b077a7ba102a667a435d8bd3a24ec,1416.95
SP,ae27f6bf595c66ba93b3aa1aabd83597,1192.48
SP,ad5dccfee30bc06e904e446616419ff4,1424.45
SP,acaf9c8dbadcef1c6ce123806c9e6c34,1468.45
SP,"5a04d5472eb5ee998250f0977b31f772",2032.00
SP,abd84878fc14079ab3b561fa01189254,1019.34
SP,aada65f37d70fd659662a2fdc9b5ce45,1173.56
SP,aac441a39c3a5649e0378fcd43a9ba9f,1338.51
SP,aaa32d09fdb08f6c25a8a39679fddb70,1226.18
SP,"5a6d092525ea183026c9b405b903fe0c",1119.60
SP,"5a7881e38b4a49918a70658e1dd42a09",1936.27
SP,"5ab99f2f9851b35df207c38655eb25b1",1114.03
SP,"5b7b7009010e8dbf35aa64441cd01b25",1511.86
SP,a9c1cbcf83ec6e290888cae660e49436,1682.92
SP,a9ac0830ef6d1cff282fe04077d56021,1327.72
SP,a7f2edcd60f0eeb573b439042bcad226,1120.37
SP,"5dff3703f9d82688ab5a1c92df1e4b18",2467.33
SP,a7a0f4f2b101a999f584d93cef692b2f,1183.36
SP,a745cd88426dd0196d729330aeca1980,1006.34
SP,a6d07e9af5c1a10994f572c37b3cac59,1281.12
SP,"0a8ddbf973510e50bdbfd4300dd90385",1644.57
SP,a6b61ba2ddd9a18d0256d3396c5d5f02,1231.29
SP,"5ef749f2915e7196dba56703be6d9eaf",1272.67
SP,a5934d510efd935a606ea73b93af950c,1415.66
SP,a4a9f56f9f405802035afba6bc2576ba,1438.23
SP,"60055ae4e5bdcbf7d567809728def6ed",2154.82
SP,f4c9f17baaf056a2b3b34ca484270e24,1057.29
SP,a3331aa44b50207a2f580848a07f0a6f,2023.58
SP,"613835be7274f39d246f0c9c264ca132",2060.20
SP,f4bfa7d75a394df13adaa6b672dc0407,1115.45
SP,"0b8f908a3b8e307be5c917414bc8275d",1031.69
SP,a22ee6bd65e350c2d1a0d9a12c2e465f,2014.99
SP,f44ffa618df5f8a65899275c93b14ae2,2638.64
SP,a109f435b9d28761c7a3024094369103,1048.57
SP,a1044dd75b74fbc485b040575a14acf0,1650.18
SP,"0bec90ebca9ff4b2b830950bb052e52d",2457.44
SP,"648c4c2cefed3d28d6af80b6ddbd7563",1251.02
SP,"9fca9eeea062d51882419081f80ba5e2",1657.57
SP,f444ba0d223518973d2ab5ee663bfd9a,1963.14
SP,"9df040be9d7656d4c912b62472bfcf05",1901.62
SP,"663e9fc2ff0fe9e5cf1f4427f321e75a",1115.48
SP,"9dc7e983a9dde2b110ca06f7547d6b5a",1351.41
SP,"9db254a87951220e74c58549749cf128",2187.42
SP,"9d0ace373bd69cc599d745b9d1a323c7",1556.70
SP,"9cb4965f1caae128f5a82f1345e2e8bc",2027.26
SP,f3b7aaba2ec5e60963dfe3bf537a54e0,1330.20
SP,"9bd3091ad5fac62f6389eacf9af4c571",1288.74
SP,"9b11e010850a4045d2da80c7783fdbd1",3256.14
SP,"0d8202144f518a0892806572cc6f3cf5",1118.05
SP,"0de97ff655abfc142ba6fc83e86bf082",2734.66
SP,f384b670963f2cf3ff4909da5a5c93e1,1314.86
SP,"69a43b90b7f45f07911d140b61da311a",1351.94
SP,"69a96af4277076a11bf7a49d27d867a5",1338.51
SP,"9a333bab1b87584cfde9ecc05b7aa668",1172.45
SP,"6a71207bf8784292ad3f6e107ab57755",2325.22
SP,"6aa1b0c278be1b6dfb6afa6161f26852",1104.93
SP,"6b99d13a1a3299af3a6261bc1263d3e5",1247.36
SP,"6c2dbbeb634605dc4cf25ce12ab038c0",1132.63
SP,"98af4f1390402d0565507f23c89c76c0",1152.62
SP,"6c749436fe7ecef4596739d31d1d8e63",1354.06
SP,"6ca64aa28917ec5f253c90fda7032b6c",1326.85
SP,"98a46f046c9ffe7964933b1f80311904",1095.65
SP,"6d107617e509701446292309521f1c22",1078.43
SP,f34129f3c90f0243ed1e0ecdcebd532a,1048.70
SP,"6d73eb39c724d3cd0d45e9e1b6b963a9",1528.03
SP,"6d887fdae7b23b09c8108f16900dab42",1520.71
