"ano_mes_dia","receita_gerada_dia","receita_acumulada_ano"
"2016-09-04",105.79,105.79
"2016-09-05",59.50,165.29
"2016-09-15",269.94,435.23
"2016-10-02",100.00,535.23
"2016-10-03",463.48,998.71
"2016-10-04",10718.86,11717.57
"2016-10-05",10559.93,22277.50
"2016-10-06",8390.23,30667.73
"2016-10-07",7094.05,37761.78
"2016-10-08",8801.45,46563.23
"2016-10-09",4099.87,50663.10
"2016-10-10",3714.37,54377.47
"2016-12-23",10.90,54388.37
"2017-01-05",387.00,387.00
"2017-01-06",916.38,1303.38
"2017-01-07",1750.90,3054.28
"2017-01-08",698.59,3752.87
"2017-01-09",712.29,4465.16
"2017-01-10",1434.87,5900.03
"2017-01-11",2776.16,8676.19
"2017-01-12",2547.13,11223.32
"2017-01-13",1626.59,12849.91
"2017-01-14",1052.79,13902.70
"2017-01-15",2397.16,16299.86
"2017-01-16",3789.73,20089.59
"2017-01-17",3351.45,23441.04
"2017-01-18",4035.19,27476.23
"2017-01-19",4079.46,31555.69
"2017-01-20",5129.51,36685.20
"2017-01-21",3912.89,40598.09
"2017-01-22",3947.97,44546.06
"2017-01-23",7554.80,52100.86
"2017-01-24",7242.56,59343.42
"2017-01-25",9839.13,69182.55
"2017-01-26",14554.77,83737.32
"2017-01-27",12854.89,96592.21
"2017-01-28",5156.21,101748.42
"2017-01-29",7256.60,109005.02
"2017-01-30",17811.22,126816.24
"2017-01-31",12148.99,138965.23
"2017-02-01",8258.77,147224.00
"2017-02-02",9114.03,156338.03
"2017-02-03",10488.30,166826.33
"2017-02-04",14278.66,181104.99
"2017-02-05",9071.41,190176.40
"2017-02-06",9169.04,199345.44
"2017-02-07",14965.34,214310.78
"2017-02-08",12132.86,226443.64
"2017-02-09",9351.26,235794.90
"2017-02-10",13932.47,249727.37
"2017-02-11",3787.07,253514.44
"2017-02-12",14869.56,268384.00
"2017-02-13",11816.13,280200.13
"2017-02-14",13426.45,293626.58
"2017-02-15",6740.27,300366.85
"2017-02-16",6555.82,306922.67
"2017-02-17",8006.80,314929.47
"2017-02-18",8884.62,323814.09
"2017-02-19",3450.76,327264.85
"2017-02-20",8301.41,335566.26
"2017-02-21",8473.32,344039.58
"2017-02-22",7955.14,351994.72
"2017-02-23",8984.24,360978.96
"2017-02-24",6934.84,367913.80
"2017-02-25",4510.73,372424.53
"2017-02-26",5669.98,378094.51
"2017-02-27",6546.59,384641.10
"2017-02-28",12480.82,397121.92
"2017-03-01",13633.56,410755.48
"2017-03-02",9010.06,419765.54
"2017-03-03",12319.80,432085.34
"2017-03-04",12848.23,444933.57
"2017-03-05",7470.42,452403.99
"2017-03-06",10336.22,462740.21
"2017-03-07",13279.40,476019.61
"2017-03-08",16496.44,492516.05
"2017-03-09",14050.29,506566.34
"2017-03-10",13048.06,519614.40
"2017-03-11",10551.39,530165.79
"2017-03-12",6933.16,537098.95
"2017-03-13",16606.00,553704.95
"2017-03-14",16720.26,570425.21
"2017-03-15",15594.36,586019.57
"2017-03-16",16637.32,602656.89
"2017-03-17",12389.27,615046.16
"2017-03-18",16155.06,631201.22
"2017-03-19",6374.15,637575.37
"2017-03-20",18372.11,655947.48
"2017-03-21",11812.45,667759.93
"2017-03-22",15204.30,682964.23
"2017-03-23",17349.36,700313.59
"2017-03-24",10431.50,710745.09
"2017-03-25",10461.84,721206.93
"2017-03-26",6508.12,727715.05
"2017-03-27",16137.70,743852.75
"2017-03-28",13009.64,756862.39
"2017-03-29",7972.16,764834.55
"2017-03-30",11359.78,776194.33
"2017-03-31",12206.58,788400.91
"2017-04-01",17722.38,806123.29
"2017-04-02",12330.97,818454.26
"2017-04-03",9570.33,828024.59
"2017-04-04",13253.73,841278.32
"2017-04-05",18556.65,859834.97
"2017-04-06",30634.17,890469.14
"2017-04-07",13787.44,904256.58
"2017-04-08",8906.40,913162.98
"2017-04-09",8498.65,921661.63
"2017-04-10",11945.92,933607.55
"2017-04-11",8933.95,942541.50
"2017-04-12",7802.52,950344.02
"2017-04-13",9915.30,960259.32
"2017-04-14",8229.99,968489.31
"2017-04-15",8113.24,976602.55
"2017-04-16",5662.96,982265.51
"2017-04-17",9153.76,991419.27
"2017-04-18",22498.41,1013917.68
"2017-04-19",13122.15,1027039.83
"2017-04-20",14334.56,1041374.39
"2017-04-21",9380.19,1050754.58
"2017-04-22",13241.55,1063996.13
"2017-04-23",10330.03,1074326.16
"2017-04-24",19986.48,1094312.64
"2017-04-25",15429.99,1109742.63
"2017-04-26",16402.98,1126145.61
"2017-04-27",11022.76,1137168.37
"2017-04-28",17090.08,1154258.45
"2017-04-29",12140.93,1166399.38
"2017-04-30",7977.72,1174377.10
"2017-05-01",12461.07,1186838.17
"2017-05-02",18136.52,1204974.69
"2017-05-03",9549.29,1214523.98
"2017-05-04",14964.65,1229488.63
"2017-05-05",14886.41,1244375.04
"2017-05-06",17121.32,1261496.36
"2017-05-07",16296.53,1277792.89
"2017-05-08",18130.96,1295923.85
"2017-05-09",26877.39,1322801.24
"2017-05-10",23215.75,1346016.99
"2017-05-11",19787.09,1365804.08
"2017-05-12",13318.18,1379122.26
"2017-05-13",9161.81,1388284.07
"2017-05-14",15913.94,1404198.01
"2017-05-15",18574.41,1422772.42
"2017-05-16",22294.70,1445067.12
"2017-05-17",19243.47,1464310.59
"2017-05-18",20632.60,1484943.19
"2017-05-19",21278.54,1506221.73
"2017-05-20",9111.61,1515333.34
"2017-05-21",17753.03,1533086.37
"2017-05-22",24686.02,1557772.39
"2017-05-23",18934.93,1576707.32
"2017-05-24",24362.08,1601069.40
"2017-05-25",16488.72,1617558.12
