Lastname,Name,Team,Position,Games Played,Goals,Missed,Field Goals,Penalty Goals,Shooting Accuracy,Assists,Technical Faults,Steals,Blocks,Yellow Cards,2 Min Exclusion,Red Cards,Blue Cards,Season,Tier
Savvas,Savvas,HIL,L_B,36,289,195,210,79,0.5971,52.0,40,7,7,20,16,1,0,17/18,B
Gunnarsson,Arnor Thor,BHC,RW,-38,275,93,163,112,0.7473000000000001,14.0,17,11,0,2,3,0,0,17/18,B
Smits,Kay,WHV,RB,37,258,141,178,80,0.6466,90.0,74,20,4,5,10,0,0,17/18,B
Kaletsch,Paul,KON,LB,35,251,194,142,109,0.564,74.0,62,4,6,13,12,0,0,17/18,B
Billek,Florian,COB,RW,37, 243 ,98,132,111,0.7126,24.0,29,20,0,4,2,0,0,17/18,B
Holzner,Dirk,TVE,LW,38,217,89,130,87,0.7092,12.0,12,8,0,4,6,0,0,17/18,B
Krings,Merten,TVE,,38,207,171,204,3,0.5476,99.0,77,6,7,21,24,3,0,17/18,B
Schafer,Christian,SGB,rw,38,206,51,88,118,0.8016,11.0,4,8,1,4,3,0,0,17/18,B
Adams,Jasper,TVE,L_B,38,204,186,203,1,0.5231,94.0,54,9,16,18,19,0,0,17/18,B
Schwolow,Tobias,WHV,CB,36,199,160,189,10,0.5543,120.0,62,6,0,5,5,0,0,17/18,B
Saul,Alexander,EIS,RB,36,197.0,155,156,41,0.5597,55.0,38,6,3,5,6,1,0,17/18,B
Sohmann,Vincent,DES,CB,38,196,72,119,77,0.7313,72.0,61,14,0,3,9,0,0,17/18,B
Skroblien,Tom,TUE,LW,36,179.0,69,109,70,0.7218000000000001,7.0,9,14,2,4,7,0,0,17/18,B
Gerlich,Matthias,EIS,LB,33,174,154,115,59,0.5305,60.0,26,6,3,5,14,1,0,17/18,B
Weissgerber,Lars,HGS,RW,38,174.0,95,100,74,0.6468,2.0,13,8,0,4,5,0,0,17/18,B
Thomann,Gregor,HBW,RW,38,173.0,64,138,35,0.73,7.0,6,8,1,1,3,0,0,17/18,B
Schmidt,Patrick,WÖW,CB,38,172,158,113,59,0.5212,52.0,37,7,1,11,6,1,0,17/18,B
Dierberg,Julius,ELB,LW,38,169.0,49,106,63,0.7752,5.0,15,9,0,2,3,0,0,17/18,B
Szczesny,Dennis,TUE,,38,167,121,167,0,0.5799,40.0,43,7,29,18,29,4,0,17/18,B
Oelze,Alexander,VIK ,CB,27,166,139,130,36,0.5443,31.0,37,4,0,1,4,0,0,17/18,B
Vorontsov,Evgeny,WHV,RW,37,162.0,81,149,13,0.6667000000000001,16.0,23,6,9,25,24,1,0,17/18,B
Barbarskas,Gerdas,SGB ,,33, 159 ,113,159,0,0.5846,62.0,999,22,7,12,15,0,0,17/18,B
Muller,Jerome,HGS,RB,38, 158 ,121,158,0,0.5663,68.0,52,12,2,17,16,1,0,17/18,B
John,Robin,HIL,CB,34,155,132,110,45,0.5401,93.0,49,3,11,5,3,0,0,17/18,B
Varvne,Tobias,COB,LB,34,154,82,154,0,0.6525,44.0,41,4,2,2,3,0,0,17/18,B
Mestrum,Daniel,HAG,LW,37,149,96,126,23,0.6082,,24,7,1,9,6,0,0,17/18,B
Pechstein,Marc,AUE ,LB,34,148,159,98,50,0.4821,73.0,61,9,24,18,17,0,0,17/18,B
Kress,Soren,HAG,CB,38,146,119,110,36,0.5509000000000001,49.0,45,7,1,2,4,0,0,17/18,B
Neuhold,Christoph,ASV ,CB,38,144,145,144,0,0.4982999999999999,76.0,39,5,3,8,6,0,0,17/18,B
Ellwanger,Jonas,TUE,CB,38, 141 ,113,141,0,0.5550999999999999,67.0,43,13,12,13,19,1,0,17/18,B
Papadopoulos,Vyron,ASV,LW,30,140,59,67,73,0.7034999999999999,10.0,18,12,1,0,6,0,0,2017-2018,B
Kaufmann,Steffen,WÖW,RB,38,138,161,138,0,0.4614999999999999,104.0,46,2,1,1,1,0,0,17/18,B
Tzoufras,Nikolaos,HIL,P,36,135,44,135,0,0.7542,4.0,999,3,6,9,10,1,0,17/18,B
Von Boenigk,Jan,HAG,RB,36,134,100,133,1,0.5726,,36,7,5,13,8,0,0,17/18,B
Arnesson,Linus,BHC,CB,38,134,78,134,0,0.6321,102.0,37,23,16,10,5,0,0,17/18,B
Wasielewski,Johannes,DES,RB,37,134,149,134,0,0.4735,53.0,66,2,7,18,17,0,0,17/18,B
Gretarsson,Oddur,HBW,LW,38,132,58,62,70,0.6947,15.0,12,5,2,4,8,1,0,17/18,B
Mickal,Pavel,NOL,,31,132,47,76,56,0.7373999999999999,5.0,13,4,2,1,6,1,0,17/18,B
Franke,Marten,TVE,RW,36,129.0,110,129,0,0.5397,20.0,20,3,1,5,9,1,0,17/18,B
Rentschler,Patrick,SGB,P,37,126,34,126,0,0.7875,11.0,19,6,18,15,22,0,0,17/18,B
Berchtenbreiter,Chris,KON,P,37,126,31,126,0,0.8025,5.0,27,7,8,22,22,1,0,2017-2018,B
Seidel,Lasse,NOL,LW,31,121,55,65,56,0.6875,6.0,7,20,2,2,1,0,0,17/18,B
Wohler,Adrian,EIS,LW,37,121,44,121,0,0.7333,7.0,15,11,1,3,13,0,0,17/18,B
Konitz,Bartosz,HAG,CB,35,119,126,117,2,0.4857,98.0,45,1,9,8,5,0,0,17/18,B
Zintel,Bjorn,ASV,CB,38,119,104,102,17,0.5336,58.0,31,5,3,3,11,1,0,17/18,B
Miedema,Patrick,NOL,CB,36,119,111,119,0,0.5174,61.0,34,14,10,12,13,0,0,17/18,B
Lex,Stefan,COB,RB,36, 118 ,108,118,0,0.5221,63.0,71,11,3,5,3,1,0,17/18,B
Schoch,Jona,HBW,L_B,37,117,80,117,0,0.5939,49.0,33,10,21,13,30,2,0,17/18,B
Roch,Kevin,AUE,LW,38,114,57,114,0,0.6667000000000001,16.0,18,18,21,21,41,4,0,17/18,B
Strobel,Martin,HBW ,CB,37,112,69,112,0,0.6188,75.0,41,7,11,11,11,0,0,17/18,B
Riedel,Mathias,KON,LB,34,112,100,112,0,0.5283,40.0,48,3,15,12,13,0,0,17/18,B
Gutbrod,Fabian,BHC,LB,33,111,89,111,0,0.555,,14,1,2,6,5,0,0,17/18,B
Hosse,Christian,VIK,,28,111,72,66,45,0.6065999999999999,22.0,34,9,0,6,7,0,0,17/18,B
Lindskog Andersson,Julius,HGS,CB,36,111,80,93,18,0.5811999999999999,65.0,42,5,0,5,4,0,0,17/18,B
Blohme,Lukas,ASV,Right Wing,-38,108,64,104,4,0.6279,14.0,10,13,1,6,7,0,0,17/18,B
Dumcius,Mindaugas,AUE,RB,37,108,85,106,2,0.5596,63.0,37,5,8,15,12,0,0,17/18,B
Postel,Duncan,WHV,P,38,107,42,107,0,0.7181000000000001,19.0,27,8,9,14,23,2,0,17/18,B
Beyer,Noah,TUE,LW,25,105,33,62,43,0.7609,3.0,9,5,0,2,4,0,0,17/18,B
Herth,Benjamin,WÖW,CB,36,104,100,68,36,0.5097999999999999,24.0,25,1,0,0,5,0,0,17/18,B
Brosch,Jan,ASV,P,37, 104 ,40,104,0,0.7222,13.0,35,1,30,21,21,1,0,17/18,B
Spross,Felix,COB ,LW,35, 103 ,48,103,0,0.6820999999999999,3.0,6,12,2,5,7,1,0,17/18,B
Pavlicek,Tomas,DES,RW,35,103,52,63,40,0.6645,,12,3,0,7,4,0,0,17/18,B
Meinhardt,Eric,AUE,CB,27,103,47,64,39,0.6867,51.0,33,10,0,3,6,0,0,17/18,B
Brielmeier,Benedikt,WÖW,LB,34,101,86,101,0,0.5401,49.0,24,7,6,4,12,0,0,17/18,B
Jurgeleit,Tim-Philip,ELB,LW,34,101,32,33,68,0.7594,2.0,4,2,0,1,0,0,0,17/18,B
Tubic,Dragan,HAG,RB,34,99,70,88,11,0.5858,15.0,21,4,6,12,12,0,0,17/18,B
Jungemann,Philip,AUE,P,37,99.0,32,99,0,0.7556999999999999,8.0,21,8,27,16,22,2,0,17/18,B
Heiny,Lutz,NOL,LB,38,99,143,99,0,0.4090999999999999,36.0,23,9,7,6,18,1,0,17/18,B
Wiese,Jens,NOL,LB,-30,98,124,98,0,0.4414,,999,8,11,7,7,0,0,17/18,B
Vorlicek,Philipp,NOL,RB,37,98,63,98,0,0.6087,30.0,999,13,5,20,17,0,0,2017-2018,B
Marcec,Martin,SGB,,34,97,37,96,1,0.7239,12.0,12,19,1,7,7,0,0,2017-2018,B
Schult,Jan,VFL,LB,32,96,108,96,0,0.4706,33.0,31,8,23,15,10,0,0,17/18,B
Verjans,Nicky,NOL,RW,33,95.0,73,75,20,0.5655,34.0,16,3,2,6,3,0,0,17/18,B
Faith,Jan,AUE,RW,38,95,66,95,0,0.5901,9.0,8,8,0,9,8,1,0,17/18,B
Metzner,Antonio,VFL,RB,30,95,83,95,0,0.5337,17.0,16,8,5,11,6,0,0,17/18,B
Milde,Oliver,VFL,LB,19,94,72,94,0,0.5663,14.0,14,1,0,0,1,0,0,17/18,B
Weyhrauch,Willy,EIS,,35,94,42,94,0,0.6912,16.0,13,19,0,8,15,0,0,2017-2018,B
Kammlodt,Adrian,ELB,,38,94,109,94,0,0.4631,41.0,29,4,3,7,8,0,0,17/18,B
Friedrich,Lars,HBW,RB,30,93,66,93,0,0.5849,42.0,999,1,4,9,7,0,0,17/18,B
Bornhauser,Tim,KON,CB,38,93,73,88,5,1.57,60.0,38,7,4,11,6,0,0,2017-2018,B
Wolf,Tom,KON,LB,34,93,59,62,31,0.6118,31.0,17,4,15,5,9,0,0,17/18,B
Majdzinski,Maciej,BHC,RB,37,91,63,91,0,0.5909,34.0,25,9,5,12,8,0,0,17/18,B
Woss,Richard,TUE,rw,29,90,45,81,9,0.6667000000000001,4.0,9,11,0,2,3,0,0,17/18,B
Kirveliavicius,Romas,COB,LB,36,90,91,90,0,0.4972,32.0,33,6,17,20,20,1,0,17/18,B
Possehl,Julian,ASV ,,35,89,71,89,0,0.5563,100.0,999,6,9,10,10,0,0,17/18,B
Vanco,Marek,DES,LW,38,89,47,89,0,0.6544,19.0,17,4,5,10,20,0,0,17/18,B
Damm,Sebastian,VFL,LW,29,89,31,45,44,0.7417,6.0,18,7,0,5,6,1,0,17/18,B
Hanisch,Libor,DES,P,38,89,16,89,0,0.8476,7.0,999,4,21,19,29,3,0,17/18,B
Niemeyer,Marcel,EIS,P,34,88,27,88,0,0.7652,4.0,999,1,7,14,21,0,0,17/18,B
Kropp,Andre,TVE,P,35,87,33,87,0,0.725,8.0,999,8,16,14,24,0,0,17/18,B
Emanuel,Max,SGB,RB,38,87,70,87,0,0.5540999999999999,76.0,30,18,4,16,13,0,0,17/18,B
Kolodziej,Falk,HGS,CB,37,87,79,87,0,0.5241,35.0,26,5,0,4,5,0,0,17/18,B
Klasmann,Christopher,VIK,LB,33,86,136,76,10,0.3874,25.0,24,0,0,1,2,0,0,17/18,B
Engels,Marcel,HGS,LB,37,85,86,85,0,0.4971,47.0,45,11,16,14,29,1,0,17/18,B
De Santis,Gabriel,ELB,,37,83,94,83,0,0.4689,38.0,999,4,4,22,24,1,0,17/18,B
Haller,Robin,SGB,LB,37,82,83,81,1,0.497,30.0,13,7,3,4,2,0,0,2017-2018,B
Darj,Max,BHC,P,38,82,25,82,0,0.7664,15.0,999,5,30,23,23,1,0,17/18,B
Fridgeirsson,Fannar Tor,ASV,LB,36,80,60,68,12,0.5714,39.0,20,6,3,9,7,0,0,17/18,B
Klingler,Felix,KON,RW,36,79,45,75,4,0.6371,7.0,15,14,0,2,1,0,0,17/18,B
Akerman,Rickard,VFL,RB,32,79,68,78,1,0.5374,29.0,23,4,2,4,6,0,0,17/18,B
Becvar,Roman,ELB,CB,37,79,79,79,0,0.5,70.0,31,7,4,9,15,0,0,17/18,B
Schomig,Dominik,WÖW,LW,36,79,44,66,13,0.6423000000000001,10.0,16,9,0,1,4,0,0,17/18,B
Kotrc,Milan,BHC,LW,38,78,51,78,0,0.6047,6.0,9,18,1,4,2,0,0,17/18,B
Barkow,Moritz,HGS,P,25,77,15,77,0,0.8370000000000001,5.0,15,0,1,4,1,0,0,17/18,B
Fraatz,Yannick,NOL,rw,36,77.0,50,77,0,0.6063000000000001,5.0,9,11,3,8,5,0,0,17/18,B
Aust,Dennis,VIK,Right Wing,37,77,44,75,2,0.6364,11.0,12,5,1,16,10,0,0,17/18,B
Lungela,Maurice,HIL,RB,37,76,76,76,0,0.5,14.0,25,7,0,6,6,0,0,17/18,B
Barthe,Paco,SGB,CB,37,75,35,75,0,0.6818000000000001,,17,26,30,18,25,0,0,2017-2018,B
Pankofer,Daniel,VIK,CB,27,75,72,57,18,0.5102,21.0,34,2,1,4,4,0,0,17/18,B
Muller,Justin,TUE,CB,35,75,66,74,1,0.5318999999999999,68.0,37,5,2,2,6,0,0,17/18,B
Sauer,Julian,WÖW,rw,36,75,39,75,0,0.6579,7.0,6,3,0,9,5,0,0,2017-2018,B
Weis,Niklas,VIK,RB,36,75,76,75,0,1.57,47.0,51,2,0,3,9,0,0,17/18,B
Genda,Pawel,VFL,L_B,18,75,62,75,0,0.5474,18.0,15,4,4,5,4,0,0,17/18,B
Konig,Felix,SGB,CB,35,74,60,74,0,0.5522,27.0,19,1,0,0,1,0,0,17/18,B
Lauenroth,Julian,VFL,,31,73,37,56,17,0.6636,10.0,10,5,1,4,4,0,0,17/18,B
Krieg,Julian,ASV,RB,34,73,66,71,2,0.5252,28.0,999,3,5,3,7,1,0,17/18,B
Schlaich,Fabian,KON,LW,25,72,46,67,5,0.6102000000000001,13.0,14,6,0,1,1,0,0,17/18,B
Bettin,Maximilian-Leon,BHC,,34,72,58,53,19,0.5538000000000001,14.0,14,2,4,2,2,0,0,17/18,B
Renninger,Julian,HAG,P,27,72,24,70,2,0.75,22.0,17,14,15,13,16,0,0,17/18,B
Remke,Gregor,AUE,RB,27,70,55,68,2,0.56,29.0,40,4,1,5,15,0,0,17/18,B
Scheithauer,Max,DES,LB,22,70,58,70,0,0.5468999999999999,38.0,23,1,0,1,3,0,0,17/18,B
Quade,Henning,ELB ,,30,69,23,69,0,0.75,8.0,20,3,5,11,14,1,0,17/18,B
Glabisch,Thees,VFL,LW,24,69,28,51,18,0.7112999999999999,5.0,6,5,1,1,5,0,0,17/18,B
Zahradnicek,Jan,DES,,33,69,32,69,0,0.6831999999999999,4.0,11,1,0,0,4,0,0,17/18,B
Schonningsen,Simen,HBW,RB,28,69,47,69,0,0.5948,29.0,18,0,2,3,2,0,0,17/18,B
Riehn,Till,COB,CB,-32,68,44,47,21,0.6071,,25,0,4,6,4,0,0,17/18,B
ten Velde,Rutger,WHV,LW,32,68,40,66,2,0.6296,4.0,999,2,0,6,5,0,0,17/18,B
